"Date"	"FNSKU"	"ASIN"	"MSKU"	"Title"	"Disposition"	"Starting Warehouse Balance"	"In Transit Between Warehouses"	"Receipts"	"Customer Shipments"	"Customer Returns"	"Vendor Returns"	"Warehouse Transfer In/Out"	"Found"	"Lost"	"Damaged"	"Disposed"	"Other Events"	"Ending Warehouse Balance"	"Unknown Events"	"Location"
"04/2023"	"X0012U7RSF"	"B0BRD85HXW"	"6Y-CZSA-ZBNJ"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (猫と枝)"	"SELLABLE"	"36"	"0"	"0"	"-3"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"33"	"0"	"JP"
"04/2023"	"X0012U7RSP"	"B0BRD6XTRF"	"Z7-AH27-HMF6"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (鳥と枝 小)"	"SELLABLE"	"18"	"0"	"0"	"-2"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"17"	"0"	"JP"
"04/2023"	"X0012UCBIV"	"B0BRD5NL98"	"FO-RJSX-W2G1"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (鳥と枝 大)"	"SELLABLE"	"61"	"0"	"0"	"-6"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"55"	"0"	"JP"
"04/2023"	"X0012UCBIV"	"B0BRD5NL98"	"FO-RJSX-W2G1"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (鳥と枝 大)"	"DEFECTIVE"	"1"	"0"	"0"	"0"	"0"	"-1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"JP"
