"Date"	"FNSKU"	"ASIN"	"MSKU"	"Title"	"Disposition"	"Starting Warehouse Balance"	"In Transit Between Warehouses"	"Receipts"	"Customer Shipments"	"Customer Returns"	"Vendor Returns"	"Warehouse Transfer In/Out"	"Found"	"Lost"	"Damaged"	"Disposed"	"Other Events"	"Ending Warehouse Balance"	"Unknown Events"	"Location"
"03/2023"	"X0012U7RSF"	"B0BRD85HXW"	"6Y-CZSA-ZBNJ"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (猫と枝)"	"SELLABLE"	"21"	"0"	"20"	"-5"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"36"	"0"	"JP"
"03/2023"	"X0012U7RSP"	"B0BRD6XTRF"	"Z7-AH27-HMF6"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (鳥と枝 小)"	"SELLABLE"	"28"	"1"	"0"	"-9"	"0"	"0"	"-1"	"0"	"0"	"0"	"0"	"0"	"18"	"0"	"JP"
"03/2023"	"X0012UCBIV"	"B0BRD5NL98"	"FO-RJSX-W2G1"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (鳥と枝 大)"	"SELLABLE"	"15"	"0"	"60"	"-14"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"61"	"0"	"JP"
"03/2023"	"X0012UCBIV"	"B0BRD5NL98"	"FO-RJSX-W2G1"	"転写式 ウォールステッカー 【キレイに貼れて剥がれにくい】 フチなし おしゃれ 植物 木 鳥 グレー シンプル KAZAROOM (鳥と枝 大)"	"DEFECTIVE"	"0"	"0"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"1"	"0"	"JP"
